name,subtitle,price,URL
Air Jordan 1 Hi FlyEase,Обувь,12 799 ₽,https://www.nike.com/ru/t/%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%BA%D0%B8-air-jordan-1-hi-flyease-9mn2QK/CQ3835-002
Jordan Winter Utility GORE-TEX,Мужская куртка,30 999 ₽,https://www.nike.com/ru/t/%D0%BA%D1%83%D1%80%D1%82%D0%BA%D0%B0-jordan-winter-utility-gore-tex-6MlgGx/CT3338-010
Jordan 23 Engineered,Шапка с отворотом,2 499 ₽,https://www.nike.com/ru/t/%D1%88%D0%B0%D0%BF%D0%BA%D0%B0-jordan-23-engineered-cuffed-qHN14H/DA2096-010
Jordan,Мужская парка с пуховым наполнителем,19 499 ₽,https://www.nike.com/ru/t/%D0%BF%D0%B0%D1%80%D0%BA%D0%B0-%D1%81-%D0%BF%D1%83%D1%85%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%BC-jordan-NvVp2f/CK6661-011
Jordan 23 Engineered,Мужская флисовая худи,9 799 ₽,https://www.nike.com/ru/t/%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D1%85%D1%83%D0%B4%D0%B8-jordan-23-engineered-9HdXWF/CK9036-010
Jordan Winter Utility,Мужская термофутболка,4 799 ₽,https://www.nike.com/ru/t/%D1%82%D0%B5%D1%80%D0%BC%D0%BE%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-jordan-winter-utility-p2cHwT/CT3381-010
Jordan Winter Utility,Мужская куртка,9 799 ₽,https://www.nike.com/ru/t/%D0%BA%D1%83%D1%80%D1%82%D0%BA%D0%B0-jordan-winter-utility-N2Gx89/CT3379-010
Jordan Winter Utility,Мужской жилет,7 299 ₽,https://www.nike.com/ru/t/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9-%D0%B6%D0%B8%D0%BB%D0%B5%D1%82-jordan-winter-utility-RpXMkD/CU8131-010
Jordan 23 Engineered,Мужские брюки карго,9 199 ₽,https://www.nike.com/ru/t/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BA%D0%B0%D1%80%D0%B3%D0%BE-jordan-23-engineered-1sCVbR/CK9167-010
Jordan Winter Utility,Мужской флисовый свитшот,5 699 ₽,https://www.nike.com/ru/t/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9-%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D1%8B%D0%B9-%D1%81%D0%B2%D0%B8%D1%82%D1%88%D0%BE%D1%82-jordan-winter-utility-rM1T0F/CT3491-010
Jordan Winter Utility,Мужская футболка с длинным рукавом,3 299 ₽,https://www.nike.com/ru/t/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D1%81-%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D1%8B%D0%BC-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BE%D0%BC-jordan-winter-utility-JW8DR0/CT3694-010
Jordan 23 Engineered,Мужская футболка с длинным рукавом,3 299 ₽,https://www.nike.com/ru/t/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D1%81-%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D1%8B%D0%BC-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BE%D0%BC-jordan-23-engineered-NdCqG6/CT3657-010
Jordan Winter Utility,Мужские флисовые брюки,6 499 ₽,https://www.nike.com/ru/t/%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D1%8B%D0%B5-%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-jordan-winter-utility-79JtPT/CT3495-010
Jordan 23 Engineered,Мужские флисовые брюки на молнии,8 199 ₽,https://www.nike.com/ru/t/%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D1%8B%D0%B5-%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BD%D0%B0-%D0%BC%D0%BE%D0%BB%D0%BD%D0%B8%D0%B8-jordan-23-engineered-0zNvP5/CV1098-010
